StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q38,Q1,Q1_2_TEXT,Q1.1,Q2_1,Q2_1_TEXT,Q2_2,Q2_2_TEXT,Q2_3,Q2_3_TEXT,Q3,Q3_1_TEXT,Q3_8_TEXT,Q36_1,Q36_2,Q36_3,Q37_1,Q37_2,Q37_3,Q4_1,Q4_2,Q4_3,Q4_4,Q11,Q11.1,Q11.2,Q12,Q12.1,Q12.2,Q13,Q13_4_TEXT,Q13.1,Q13.1_4_TEXT,Q13.2,Q13.2_4_TEXT,Q14_1,Q14_2,Q14_3,Q31_1,Q31_2,Q31_3,Q15_1,Q15_2,Q15_3,Q16_1,Q16_2,Q16_3,Q18,Q18.1,Q18.2,Q39
2024-09-05 07:31:00,2024-09-05 07:36:05,Adresse IP,45.114.7.98,100,305,Vrai,2024-09-05 07:36:06,R_4ZMXu9WmUA9ZatX,,,,,1.3352,103.8529,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-05 07:39:22,2024-09-05 07:56:37,Adresse IP,45.114.7.98,100,1035,Vrai,2024-09-05 07:56:38,R_4QgPPfGELSB700M,,,,,1.3352,103.8529,anonymous,EN,Nanyang Technological University,"Yes, I am part of the group that makes those decisions",,,5,,,,,,"Myself, please specify your role in your university:,The Case Club (or other students-based groups),Academic advisors",Assistant Dean (Undergraduate),,3,4,4,2,2,3,4,3,2,2,6 months,,,August,,,Every semester,,,,,,less than 3000 US$,,,Between 1000 US$ and 1500 US$,,,4-6 days,,,2 cases,,,Nil,,,No
2024-09-05 12:41:32,2024-09-05 12:52:33,Adresse IP,75.156.24.245,100,661,Vrai,2024-09-05 12:52:34,R_3aIYQK7UuQRyjp9,,,,,49.2732,-123.0124,anonymous,EN,Simon Fraser University,"Yes, I am part of the group that makes those decisions",,,,5,,2,,0,"Myself, please specify your role in your university:,Others, please specify:","Senior Lecturer, Faculty Teaching Fellow",We have a case competition committee chaired by associate dean. All voting members of the committee are faculty members who coach case teams,4,1,,,5,5,2,1,4,3,4-6,4-6,,We usually make decisions at least 1.5 semesters ahead of a competition,,,Every semester,,Every semester,,,,More than 5000 US$,,,More than 1500 US$,,,4-6 days,,,2 cases,,,fall,,,We would welcome another Canadian Competition in light of severe budget cuts. SFU is more likely to compete in N American competitions for budgetary reasons. We are very selective now in choosing overseas competitions due to cost. We now go to 2-3 international rather than 5+ pre-Covid. HEC has an excellent reputation in the case community and would have broad national and international support. Good luck!
2024-09-06 12:16:01,2024-09-06 12:20:15,Adresse IP,68.181.17.190,100,254,Vrai,2024-09-06 12:20:16,R_18BXXzP33Wx8ZIB,,,,,34.0322,-118.2836,anonymous,EN,"University of Southern California, Marshall School of Business","Yes, I am part of the group that makes those decisions",,,,8,,2,,0,"Myself, please specify your role in your university:,The Case Club (or other students-based groups)","Director, International Programs",,3,4,2,,3,5,4,2,4,2,4-6 minimum,4-6 minimum,N/A,No there is not,June 30,n/a,When someone shows interest in a specific competition,,Once a year,,"Other, please specify:",n/a,Between 3000 US$ and 5000 US$,Between 3000 US$ and 5000 US$,Between 3000 US$ and 5000 US$,Between 1000 US$ and 1500 US$,Between 1000 US$ and 1500 US$,Between 1000 US$ and 1500 US$,4-6 days,1-3 days,1-3 days,2 cases,a single case,a single case,November,March,March,
2024-09-06 13:54:03,2024-09-06 14:02:37,Adresse IP,37.189.32.6,100,513,Vrai,2024-09-06 14:02:38,R_2O1RCt6EmY23rS9,,,,,41.1765,-8.6877,anonymous,EN,Porto,"Yes, I am part of the group that makes those decisions",,,,4,,0,,,Academic advisors,,,4,4,5,1,3,5,4,3,1,2,"End of previous year most of the times ",End of prev year,,"Jun of the prev year ","Never organized one ",Never organized one,Every semester,,Once a year,,"Other, please specify:","We don’t participate ",Between 3000 US$ and 5000 US$,Between 3000 US$ and 5000 US$,less than 3000 US$,Less than 1000 US$,Between 1000 US$ and 1500 US$,Less than 1000 US$,4-6 days,4-6 days,4-6 days,3 cases or more,3 cases or more,,"Difficult to say ! Second semestre of the civil year ","September ",September,Number of cases depends also on the distance. For further distance competitions that require more investment we value a more intensive experience ;)
2024-09-06 14:49:14,2024-09-06 14:57:20,Adresse IP,137.82.105.201,100,486,Vrai,2024-09-06 14:57:21,R_5bciqo41Zkkhb1L,,,,,49.2492,-123.1924,anonymous,EN,UBC,"Yes, I'm solely in charge",,,10,,2,,2,,"Myself, please specify your role in your university:",,,4,4,5,2,5,5,5,2,3,2,5,,,September,,,Every semester,,,,,,Between 3000 US$ and 5000 US$,,,Less than 1000 US$,,,7-9 days,1-3 days,1-3 days,3 cases or more,,,November,,,
2024-09-06 17:55:43,2024-09-06 17:59:45,Adresse IP,67.173.191.202,100,242,Vrai,2024-09-06 17:59:46,R_5Xdo5RhBxZCnJv0,,,,,45.0646,-93.3836,anonymous,EN,University of Minnesota,"Yes, I'm solely in charge",,,,2,,?,,?,"Myself, please specify your role in your university:,Students in general",Faculty,,2,5,1,4,4,5,3,0,4,0,"About 6 months. Our budget cycle begins on July 1, so it is easiest if we have an invitation before that date.",N/A,N/A,September 1,N/A,N/A,Once a year,,"Other, please specify:",I don't know.,"Other, please specify:",I don't know.,Between 3000 US$ and 5000 US$,,,Between 1000 US$ and 1500 US$,,,7-9 days,,,2 cases,,,"February, March, or April",Don't know,Don't know,
2024-09-06 18:40:35,2024-09-06 18:46:37,Adresse IP,143.89.57.86,100,361,Vrai,2024-09-06 18:46:38,R_4ZsJDHI90RoJEZP,,,,,22.2908,114.1501,anonymous,EN,HKUST,"Yes, I am part of the group that makes those decisions",,,8,8,2,2,,1,"Myself, please specify your role in your university:,The Case Club (or other students-based groups),Others, please specify:",Associate director UG,UG director,4,5,3,3,2,4,4,2,1,1,six,not applicable,not responsible,no,NA,NA,When someone shows interest in a specific competition,,"Other, please specify:",na,"Other, please specify:",na,Between 3000 US$ and 5000 US$,,,Between 1000 US$ and 1500 US$,,,4-6 days,,,2 cases,,,august,na,na,no
2024-09-07 11:40:02,2024-09-07 11:46:04,Adresse IP,80.167.221.178,100,361,Vrai,2024-09-07 11:46:04,R_2MXZLK5Zjvx02Wd,,,,,56.1567,10.2153,anonymous,EN,Aarhus,"Yes, I am part of the group that makes those decisions",,,,6,,0,,0,"Myself, please specify your role in your university:,The Case Club (or other students-based groups)",,,4,2,4,0,1,3,4,3,2,2,3,,,,,,Every semester,,,,,,less than 3000 US$,,,Less than 1000 US$,,,4-6 days,,,2 cases,,,September,,September,"Other than UG competition, a Graduate competition non-MBA would be very welcome!"
2024-09-08 03:22:21,2024-09-08 03:27:00,Adresse IP,218.215.25.69,100,278,Vrai,2024-09-08 03:27:01,R_40yEqA6FoByjpAd,,,,,-33.8652,151.1021,anonymous,EN,University of Technology Sydney,"Yes, I'm solely in charge",,,,9,,0,,0,"Myself, please specify your role in your university:,The Case Club (or other students-based groups)",Associate Professor,,5,4,5,3,4,4,3,2,2,1,6-8,8+,8+,June,February,February,Every semester,,When someone shows interest in a specific competition,,When someone shows interest in a specific competition,,Between 3000 US$ and 5000 US$,Between 3000 US$ and 5000 US$,Between 3000 US$ and 5000 US$,Between 1000 US$ and 1500 US$,Between 1000 US$ and 1500 US$,Between 1000 US$ and 1500 US$,4-6 days,4-6 days,4-6 days,2 cases,2 cases,2 cases,November,November,November,
2024-09-08 04:58:50,2024-09-08 05:06:52,Adresse IP,101.187.248.215,100,481,Vrai,2024-09-08 05:06:54,R_4f9lTe9kJhKX3Xj,,,,,-33.8715,151.2006,anonymous,EN,UNSW Sydney,"Yes, I am part of the group that makes those decisions",,,,10,,2,,0,Career management services,,,3,3,3,2,4,4,3,,3,3,6,6,6,"It is great to know well in advance for planning. Other competitions at the same time will influence selection. ","Depending on timing. It is good to know well in advance. ","Not as important. ","Other, please specify:","For us, it is a rolling decision as invitations arrive. ",Every semester,,Every semester,,less than 3000 US$,less than 3000 US$,less than 3000 US$,Between 1000 US$ and 1500 US$,Between 1000 US$ and 1500 US$,Between 1000 US$ and 1500 US$,7-9 days,7-9 days,7-9 days,3 cases or more,3 cases or more,3 cases or more,August,"November ","November. ",No
2024-09-08 18:15:03,2024-09-08 18:21:00,Adresse IP,58.164.53.63,100,357,Vrai,2024-09-08 18:21:01,R_4P4WAIlhoiqsKBu,,,,,-33.8695,150.9518,anonymous,EN,The University of Sydney,"Yes, I'm solely in charge",,,6,,0,,0,,"Myself, please specify your role in your university:,The Case Club (or other students-based groups)",Faculty Advisor,,3,4,3,3,4,4,4,1,3,2,"For funding and scheduling purposes, approximately 6 months",I have no involvement with MBA students,There formal case competition squad for graduate students,"First half of the year - approximately August. Second half of the year, approximately March",N/A,N/A,Every semester,,"Other, please specify:",No involvement,"Other, please specify:",No program,More than 5000 US$,,,Between 1000 US$ and 1500 US$,,,4-6 days,,,2 cases,,,March,,,No
2024-09-09 03:48:04,2024-09-09 03:54:46,Adresse IP,122.56.210.40,100,401,Vrai,2024-09-09 03:54:47,R_4hWxKESrNu2utNf,,,,,-43.5116,172.699,anonymous,EN,Team Universities of New Zealand,"Yes, I'm solely in charge",,,,2,,0,,0,"Myself, please specify your role in your university:",The BOSS,,4,3,3,1,3,4,1,1,3,5,9 months,n/a,n/a,April,n/a,n/a,Once a year,,"Other, please specify:",n/a,"Other, please specify:",n/a,Between 3000 US$ and 5000 US$,,,Between 1000 US$ and 1500 US$,,,4-6 days,,,2 cases,,,Check spreadsheet and comments I'll send you,,,No. Good questionnaire - of course!!
2024-09-09 10:25:36,2024-09-09 10:36:15,Adresse IP,159.237.12.32,100,638,Vrai,2024-09-09 10:36:16,R_21rofSTMrg8dr5n,,,,,42.7968,-1.6649,anonymous,EN,University of Navarra,"Yes, I am part of the group that makes those decisions",,,,5,,0,,0,"Direction,Academic advisors",,,3,4,4,2,4,4,3,0,3,1,"At least with 6 months. Ideally, during the summer to allocate the budget for the academic year.","The MBA competitions are run by IESE Business School, so I can't give you an answer",We don't compete in other competitions. Sorry.,september,-,-,Once a year,,"Other, please specify:",-,"Other, please specify:",-,Between 3000 US$ and 5000 US$,,,Between 1000 US$ and 1500 US$,,,4-6 days,,,3 cases or more,,,October of February,-,-,
2024-09-09 17:39:50,2024-09-09 17:45:48,Adresse IP,24.17.214.77,100,358,Vrai,2024-09-09 17:45:49,R_3NrkJpEJRE1PTKg,,,,,47.6901,-122.3747,anonymous,EN,"University of Washington, Seattle","Yes, I am part of the group that makes those decisions",,,,7,,2,,0,"Myself, please specify your role in your university:",Global Competition and Program Manager,,2,3,4,2,3,5,3,1,2,1,6,4,n/a,"December, when budgets are due","December, when budgets are due",n/a,Every semester,,When someone shows interest in a specific competition,,"Other, please specify:",n/a,Between 3000 US$ and 5000 US$,Between 3000 US$ and 5000 US$,Between 3000 US$ and 5000 US$,More than 1500 US$,Between 1000 US$ and 1500 US$,Less than 1000 US$,4-6 days,1-3 days,1-3 days,2 cases,3 cases or more,3 cases or more,"February, May, October, or March",see above,see above,"the companies sponsoring, past case relevancy, networking opportunities, student leadership roles like having ambassadors for each team are all also considerations we look at"
2024-09-10 04:32:58,2024-09-10 04:37:32,Adresse IP,27.55.79.237,100,273,Vrai,2024-09-10 04:37:33,R_4YA4yYZ5JxaXJeH,,,,,13.7063,100.4597,anonymous,EN,Thammasat University,"Yes, I am part of the group that makes those decisions",,,,7,,,,,"Myself, please specify your role in your university:,Direction",Director of BBA Program,,3,5,1,4,3,5,5,4,4,4,7 months,,,No,,,Every semester,,,,,,More than 5000 US$,,,More than 1500 US$,,,4-6 days,,,2 cases,,,Febuary,,,
2024-09-10 13:06:58,2024-09-10 13:27:25,Adresse IP,130.15.82.151,100,1227,Vrai,2024-09-10 13:27:26,R_3EKDtzvaKlryv9m,,,,,44.2454,-76.5813,anonymous,EN,"Smith School of Business, Queen's University","Yes, I am part of the group that makes those decisions",,,5,,0,unsure,0,unsure,"Myself, please specify your role in your university:,The Case Club (or other students-based groups),Others, please specify:",Milana McNamee,"Director, Student Experience, David Youssef",3,4,4,3,3,4,4,3,4,3,4 months,,,"no specific date, need to plan at least 4 months ahead",,,When someone shows interest in a specific competition,,,,,,Between 3000 US$ and 5000 US$,,,Between 1000 US$ and 1500 US$,,,4-6 days,,,2 cases,,,January/February,,,
2024-09-11 06:57:48,2024-09-11 07:11:49,Adresse IP,212.36.194.15,100,841,Vrai,2024-09-11 07:11:50,R_2mLZTH02PB4PTsB,,,,,33.8916,35.5024,anonymous,EN,,"Yes, I'm solely in charge",,,,7-9,,1,,0,"Myself, please specify your role in your university:",director of the int. case comp program & Senior lecturer in strategic management,,3,3,1,3,5,5,4,2,2,1,6,12,12,"June-July for Fall, Sept-October for Spring",In the beginning of a new academic year,In the beginning of a new academic year,Every semester,,Once a year,,Once a year,,More than 5000 US$,More than 5000 US$,More than 5000 US$,Between 1000 US$ and 1500 US$,Between 1000 US$ and 1500 US$,Between 1000 US$ and 1500 US$,4-6 days,4-6 days,4-6 days,3 cases or more,3 cases or more,3 cases or more,November,January or July,none,no
2024-09-04 19:07:27,2024-09-04 19:08:12,Adresse IP,203.218.87.28,4,44,Faux,2024-09-11 19:08:13,R_4oO9oWs9U4H5pJr,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-04 19:25:07,2024-09-04 19:25:20,Adresse IP,147.8.117.86,4,12,Faux,2024-09-11 19:25:27,R_41WBDWYycaSuEoA,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-04 19:54:35,2024-09-04 20:02:26,Adresse IP,137.132.176.24,4,470,Faux,2024-09-11 20:02:31,R_4YXlYvDI3B8ImB3,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
